Transmitters,Released,LifeDays,Dead,ReleaseLocation
A69-1601-34779,6/10/15,730,6/09/17,CR.West
A69-1601-34778,6/10/15,730,6/09/17,CR.West
A69-1601-34777,6/10/15,730,6/09/17,CR.West
A69-1601-34775,6/11/15,730,6/10/17,CR.West
A69-1601-34776,6/11/15,730,6/10/17,CR.West
A69-1601-34780,6/11/15,730,6/10/17,CR.West
A69-1601-34784,6/11/15,730,6/10/17,CR.West
A69-1601-34783,6/11/15,730,6/10/17,CR.West
A69-1601-34782,6/11/15,730,6/10/17,CR.West
A69-1601-34781,6/11/15,730,6/10/17,CR.West
A69-1601-34785,6/11/15,730,6/10/17,CR.West
A69-1601-34786,6/11/15,730,6/10/17,CR.West
A69-1601-34787,6/11/15,730,6/10/17,CR.West
A69-1601-34788,6/12/15,730,6/11/17,CR.West
A69-1601-34789,6/12/15,730,6/11/17,CR.West
A69-1601-34794,6/12/15,730,6/11/17,CR.West
A69-1601-34793,6/12/15,730,6/11/17,CR.West
A69-1601-34792,6/12/15,730,6/11/17,CR.West
A69-1601-34791,6/12/15,730,6/11/17,CR.West
A69-1601-34790,6/12/15,730,6/11/17,CR.West
A69-1601-34799,6/07/16,730,6/07/18,CR.West
A69-1601-34798,6/07/16,730,6/07/18,CR.West
A69-1601-34797,6/08/16,730,6/08/18,CR.West
A69-1601-34796,6/08/16,730,6/08/18,CR.West
A69-1601-34795,6/08/16,730,6/08/18,CR.West
A69-1601-34804,6/08/16,730,6/08/18,CR.West
A69-1601-34803,6/08/16,730,6/08/18,CR.West
A69-1601-34802,6/08/16,730,6/08/18,CR.West
A69-1601-34801,6/08/16,730,6/08/18,CR.West
A69-1601-34800,6/08/16,730,6/08/18,CR.West
A69-1601-41115,6/09/16,730,6/09/18,CR.West
A69-1601-41120,6/09/16,730,6/09/18,CR.West
A69-1601-41114,6/10/16,730,6/10/18,CR.West
A69-1601-41119,6/10/16,730,6/10/18,CR.West
A69-1601-41118,6/10/16,730,6/10/18,CR.West
A69-1601-41113,6/10/16,730,6/10/18,CR.West
A69-1601-41112,6/10/16,730,6/10/18,CR.West
A69-1601-41117,6/10/16,730,6/10/18,CR.West
